Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
219,poltergeist,2015,pg-13,horror,gil kenan,4.425000000000001,72.04
220,backdraft,1991,r,thriller,ron howard,6.125,72.04
221,hellboy,2004,pg-13,fantasy,guillermo del toro,7.225,72.03
222,red 2,2013,pg-13,crime,dean parisot,5.55,72.02
223,dc league of super pets,2022,pg,comedy,"jared stern, sam j. levine",6.775,72.02
224,oceans eleven,2001,pg-13,thriller,steven soderbergh,7.700000000000001,72.02
225,the break up,2006,pg-13,comedy,peyton reed,4.9,72.00999999999999
226,tootsie,1982,pg,comedy,sydney pollack,8.125,72.0
227,made of honor,2008,pg-13,romance,paul weiland,4.375,71.99
228,get out,2017,r,horror,jordan peele,8.425,71.97
229,wonder woman,2017,pg-13,fantasy,patty jenkins,7.85,71.96000000000001
230,the adventures of tintin,2011,pg,mystery,steven spielberg,7.125,71.95
231,dirty dancing,1987,pg-13,music,emile ardolino,7.025,71.94
232,untraceable,2008,r,horror,gregory hoblit,4.300000000000001,71.94
233,vicky cristina barcelona,2008,pg-13,romance,woody allen,7.225,71.93
234,cloudy with a chance of meatballs 2,2013,pg,comedy,"cody cameron, kris pearn",6.45,71.93
235,public enemies,2009,r,drama,michael mann,6.85,71.93
236,brave,2012,pg,comedy,"mark andrews, brenda chapman, steve purcell",7.2,71.92
237,die hard with a vengeance,1995,r,thriller,john mctiernan,6.65,71.92
238,scary movie 3,2003,r,comedy,david zucker,5.0,71.92
239,underworld evolution,2006,r,fantasy,len wiseman,4.65,71.92
240,the village,2004,pg-13,drama,m. night shyamalan,5.45,71.91
241,the horse whisperer,1998,pg-13,drama,robert redford,6.85,71.91
242,the untouchables,1987,r,crime,brian de palma,7.95,71.91
243,guy ritchies the covenant,2023,r,war,guy ritchie,7.475,71.89999999999999
244,sisu,2022,r,war,jalmari helander,7.675000000000001,71.89
245,bandits,2001,pg-13,crime,barry levinson,6.3,71.88
246,gravity,2013,pg-13,drama,alfonso cuarón,8.525,71.87
247,red cliff,2008,r,drama,john woo,7.65,71.87
248,abominable,2019,pg,comedy,"jill culton, todd wilderman",7.225,71.87
249,wall street money never sleeps,2010,pg-13,crime,oliver stone,5.9,71.87
250,heaven can wait,1978,pg,fantasy,"warren beatty, buck henry",7.324999999999999,71.87
251,enemy at the gates,2001,r,war,jean-jacques annaud,6.4,71.87
252,la la land,2016,pg-13,music,damien chazelle,8.6,71.87
253,panic room,2002,r,thriller,david fincher,6.925,71.87
254,last action hero,1993,pg-13,fantasy,john mctiernan,5.4,71.86
255,pitch perfect 3,2017,pg-13,comedy,trish sie,4.8,71.86
256,the empire strikes back,1980,pg,action,irvin kershner,8.7,71.86
257,spy kids 3 d game over,2003,pg,science fiction,robert rodriguez,4.925,71.86
258,bridget jones the edge of reason,2004,r,romance,beeban kidron,4.800000000000001,71.86
259,reign of fire,2002,pg-13,fantasy,rob bowman,5.1,71.85000000000001
260,sgt stubby an american hero,2018,pg,war,richard lanni,7.35,71.85000000000001
261,free guy,2021,pg-13,science fiction,shawn levy,7.2,71.85000000000001
262,toy story 3,2010,g,comedy,lee unkrich,8.775,71.85000000000001
263,rules of engagement,2000,r,war,william friedkin,5.2,71.85000000000001
264,a view to a kill,1985,pg,thriller,john glen,5.025,71.84
265,us marshals,1998,pg-13,crime,stuart baird,5.2,71.84
266,rambo iii,1988,r,war,peter macdonald,4.925,71.84
267,galaxy quest,1999,pg,science fiction,dean parisot,7.625,71.84
268,the fifth element,1997,pg-13,science fiction,luc besson,6.875,71.83
269,the karate kid part ii,1986,pg,romance,john g. avildsen,5.65,71.83
270,spice world,1997,pg,music,bob spiers,3.8,71.83
271,angel has fallen,2019,r,thriller,ric roman waugh,5.325,71.83
272,mr poppers penguins,2011,pg,comedy,mark waters,5.525,71.83
273,the siege,1998,r,thriller,edward zwick,5.6,71.82
274,logan,2017,r,drama,james mangold,8.225,71.81
275,ace ventura when nature calls,1995,pg-13,comedy,steve oedekerk,4.825,71.81
276,casper,1995,pg,comedy,brad silberling,5.65,71.81
277,red,2010,pg-13,comedy,robert schwentke,6.725,71.81
278,along came polly,2004,pg-13,romance,john hamburg,4.775,71.8
279,forrest gump,1994,pg-13,romance,robert zemeckis,8.25,71.8
280,birds of prey and the fantabulous emancipation of one harley quinn,2020,r,crime,cathy yan,6.725,71.8
281,nights in rodanthe,2008,pg-13,romance,george c. wolfe,4.8,71.8
282,queen of the damned,2002,r,horror,michael rymer,4.025,71.8
283,dragon blade,2015,r,fantasy,daniel lee,5.0,71.8
284,species,1995,r,horror,roger donaldson,5.25,71.78999999999999
285,special forces,2011,r,war,stéphane rybojad,4.375,71.78999999999999
286,days of thunder,1990,pg-13,drama,tony scott,5.575,71.78999999999999
287,the quiet american,2002,r,war,phillip noyce,7.625,71.78999999999999
288,far and away,1992,pg-13,romance,ron howard,5.825,71.78999999999999
289,purple rain,1984,r,music,albert magnoli,6.475,71.78
290,man on fire,2004,r,thriller,tony scott,5.925,71.78
291,saw 3d,2010,r,crime,kevin greutert,3.7,71.78
292,midnight in paris,2011,pg-13,romance,woody allen,8.125,71.78
293,sherlock holmes,2009,pg-13,action,guy ritchie,6.85,71.78
294,war for the planet of the apes,2017,pg-13,war,matt reeves,8.05,71.77
295,big hero 6,2014,pg,comedy,"don hall, chris williams",7.975,71.77
296,love story,1970,pg,romance,arthur hiller,7.1,71.77
297,green zone,2010,r,war,paul greengrass,6.225,71.77
298,the sum of all fears,2002,pg-13,drama,phil alden robinson,5.8,71.77
299,jumanji,1995,pg,fantasy,joe johnston,5.85,71.77
300,the unborn,2009,pg-13,mystery,david s. goyer,3.475,71.75
301,patton,1970,pg,war,franklin j. schaffner,8.3,71.75
302,life,2017,r,mystery,daniel espinosa,6.3,71.74000000000001
303,ice age,2002,pg,comedy,"chris wedge, carlos saldanha",7.175,71.74000000000001
304,the hunchback of notre dame,1996,g,drama,"gary trousdale, kirk wise",7.175,71.73
305,the hitchhikers guide to the galaxy,2005,pg,science fiction,garth jennings,6.425,71.73
306,nanny mcphee and the big bang,2010,pg,fantasy,susanna white,6.275,71.73
307,intolerable cruelty,2003,pg-13,romance,"joel coen, ethan coen",6.725,71.72
308,the red violin,1998,r,music,françois girard,7.0,71.72
309,eat pray love,2010,pg-13,romance,ryan murphy,5.125,71.71
310,confessions of a shopaholic,2009,pg,romance,p.j. hogan,4.675,71.71
311,hellboy ii the golden army,2008,pg-13,fantasy,guillermo del toro,7.55,71.71
312,madeas witness protection,2012,pg-13,crime,tyler perry,4.3,71.71
313,shadow,2018,pg-13,war,yimou zhang,7.8,71.7
314,book of shadows blair witch 2,2000,r,horror,joe berlinger,2.8,71.69
315,a perfect murder,1998,r,crime,andrew davis,5.9,71.69
316,88 minutes,2007,r,mystery,jon avnet,3.475,71.69
317,the predator,2018,r,science fiction,shane black,4.775,71.67999999999999
318,paradise road,1997,r,war,bruce beresford,5.575,71.67999999999999
319,the princess diaries 2 royal engagement,2004,g,romance,garry marshall,4.85,71.67999999999999
320,red sparrow,2018,r,thriller,francis lawrence,5.725,71.67999999999999
321,underworld awakening,2012,r,horror,"måns mårlind, björn stein",4.75,71.67999999999999
322,ticket to paradise,2022,pg-13,drama,ol parker,5.825,71.67
323,2 fast 2 furious,2003,pg-13,action,john singleton,4.975,71.67
324,the roommate,2011,pg-13,horror,christian e. christiansen,3.2,71.67
325,johnny english reborn,2011,pg,crime,oliver parker,5.25,71.67
326,the scorpion king,2002,pg-13,drama,chuck russell,4.9,71.67
327,the godfather,1972,r,crime,francis ford coppola,9.4,71.66
328,rv,2006,pg,romance,barry sonnenfeld,4.275,71.66
329,the spiderwick chronicles,2008,pg,fantasy,mark waters,6.85,71.65
330,the lucky one,2012,pg-13,romance,scott hicks,4.875,71.64
331,joe dirt,2001,pg-13,mystery,dennie gordon,3.625,71.63000000000001
332,hannibal rising,2007,r,horror,peter webber,4.35,71.63000000000001
333,beverly hills chihuahua,2008,pg,romance,raja gosnell,4.375,71.63000000000001
334,austin powers the spy who shagged me,1999,pg-13,crime,jay roach,6.05,71.63000000000001
335,flightplan,2005,pg-13,drama,robert schwentke,5.45,71.63000000000001
336,matchstick men,2003,pg-13,crime,ridley scott,7.15,71.61999999999999
337,over the hedge,2006,pg,comedy,"tim johnson, karey kirkpatrick",6.875,71.61
338,the tin drum,1979,r,war,volker schlöndorff,7.25,71.61
339,gothika,2003,r,thriller,mathieu kassovitz,4.3,71.61
340,cliffhanger,1993,r,action,renny harlin,6.45,71.61
341,ransom,1996,r,action,ron howard,6.7,71.61
342,wanted,2008,r,action,timur bekmambetov,6.675,71.61
343,minority report,2002,pg-13,thriller,steven spielberg,7.95,71.61
344,always,1989,pg,romance,steven spielberg,6.175,71.6
345,elvis,2022,pg-13,drama,baz luhrmann,7.225,71.6
346,the possession,2012,pg-13,horror,ole bornedal,5.075,71.6
347,air force one,1997,r,action,wolfgang petersen,6.75,71.59
348,the spongebob movie sponge out of water,2015,pg,fantasy,"paul tibbitt, mike mitchell",6.574999999999999,71.59
349,youve got mail,1998,pg,romance,nora ephron,6.525,71.59
350,what to expect when youre expecting,2012,pg-13,romance,kirk jones,4.525,71.59
351,unbreakable,2000,pg-13,thriller,m. night shyamalan,6.9,71.58
352,home alone,1990,pg,comedy,chris columbus,7.0,71.58
353,elysium,2013,r,action,neill blomkamp,6.4,71.58
354,the manchurian candidate,2004,r,mystery,jonathan demme,7.15,71.58
355,seven pounds,2008,pg-13,drama,gabriele muccino,5.35,71.58
356,final destination 3,2006,r,mystery,james wong,5.074999999999999,71.58
357,american reunion,2012,r,comedy,"jon hurwitz, hayden schlossberg",5.6,71.58
358,due date,2010,r,comedy,todd phillips,5.475,71.57
359,cheaper by the dozen,2003,pg,comedy,shawn levy,4.8,71.57
360,the other woman,2014,pg-13,comedy,nick cassavetes,4.75,71.57
361,journey to the west the demons strike back,2017,pg-13,fantasy,hark tsui,5.875,71.57
362,mary shelleys frankenstein,1994,r,romance,kenneth branagh,5.45,71.57
