Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
727,zodiac,2007,r,mystery,david fincher,8.025,72.65
728,school of rock,2003,pg-13,music,richard linklater,7.924999999999999,72.65
729,nims island,2008,pg,fantasy,"jennifer flackett, mark levin",5.675,72.64
730,cold mountain,2003,r,romance,anthony minghella,7.1,72.64
731,no time to die,2021,pg-13,thriller,cary joji fukunaga,7.45,72.64
732,a time to kill,1996,r,thriller,joel schumacher,6.75,72.64
733,creed ii,2018,pg-13,drama,steven caple jr.,7.25,72.63
734,the hobbit the desolation of smaug,2013,pg-13,fantasy,peter jackson,7.35,72.63
735,interstellar,2014,pg-13,drama,christopher nolan,7.95,72.63
736,the living daylights,1987,pg,thriller,john glen,6.6,72.63
737,ip man 3,2015,pg-13,drama,wilson yip,6.85,72.63
738,the godfather part iii,1990,r,thriller,francis ford coppola,6.925,72.61999999999999
739,elizabeth the golden age,2007,pg-13,romance,shekhar kapur,5.35,72.61999999999999
740,the invisible,2007,pg-13,mystery,david s. goyer,4.5,72.61
741,the truman show,1998,pg,drama,peter weir,8.675,72.6
742,space cowboys,2000,pg-13,thriller,clint eastwood,7.0,72.6
743,from hell,2001,r,mystery,"albert hughes, allen hughes",6.1,72.6
744,a wrinkle in time,2018,pg,science fiction,ava duvernay,4.75,72.59
745,batman,1989,pg-13,crime,tim burton,7.325,72.59
746,i feel pretty,2018,pg-13,romance,"abby kohn, marc silverstein",5.1,72.58
747,the great raid,2005,r,war,john dahl,5.475,72.57000000000001
748,secret window,2004,pg-13,mystery,david koepp,5.574999999999999,72.56
749,harry potter and the half blood prince,2009,pg,fantasy,david yates,7.85,72.56
750,brick mansions,2014,pg-13,crime,camille delamarre,4.5,72.56
751,domestic disturbance,2001,pg-13,mystery,harold becker,4.15,72.56
752,doctor strange in the multiverse of madness,2022,pg-13,fantasy,sam raimi,6.9,72.54
753,the stepford wives,2004,pg-13,science fiction,frank oz,4.45,72.54
754,angels  demons,2009,pg-13,thriller,ron howard,5.45,72.53
755,panic room,2002,r,thriller,david fincher,6.925,72.53
756,guess who,2005,pg-13,romance,kevin rodney sullivan,5.225,72.52
757,the mask,1994,pg-13,fantasy,chuck russell,6.9,72.52
758,a few good men,1992,r,drama,rob reiner,7.45,72.52
759,michael,1996,pg,fantasy,nora ephron,4.7,72.52
760,taken 2,2012,pg-13,thriller,olivier megaton,4.825,72.50999999999999
761,contagion,2011,pg-13,thriller,steven soderbergh,7.225,72.50999999999999
762,windtalkers,2002,r,war,john woo,5.175,72.50999999999999
763,the hitmans bodyguard,2017,r,crime,patrick hughes,5.7250000000000005,72.5
764,skyfall,2012,pg-13,thriller,sam mendes,8.075,72.5
765,glass,2019,pg-13,drama,m. night shyamalan,5.325,72.49
766,intolerable cruelty,2003,pg-13,romance,"joel coen, ethan coen",6.725,72.49
