Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
597,night at the museum,2006,pg,fantasy,shawn levy,5.525,0.7016
598,city slickers,1991,pg-13,comedy,ron underwood,7.275,0.7016
599,mission impossible   fallout,2018,pg-13,action,christopher mcquarrie,8.375,0.7016
600,pokémon the first movie,1998,g,fantasy,kunihiko yuyama,4.575,0.7015
601,the martian,2015,pg-13,science fiction,ridley scott,8.2,0.7014
602,the heat,2013,r,crime,paul feig,6.425,0.7012
603,the manchurian candidate,2004,r,mystery,jonathan demme,7.15,0.7012
604,lord of war,2005,r,crime,andrew niccol,6.825,0.7011
605,popstar never stop never stopping,2016,r,music,"akiva schaffer, jorma taccone",7.0,0.701
606,harry potter and the prisoner of azkaban,2004,pg,fantasy,alfonso cuarón,8.275,0.701
607,the flintstones,1994,pg,comedy,brian levant,4.1,0.701
608,hail caesar,2016,pg-13,mystery,"ethan coen, joel coen",7.0,0.7006
609,1917,2019,r,war,sam mendes,8.2,0.7006
610,searching,2018,pg-13,mystery,aneesh chaganty,7.875,0.7006
611,rogue one a star wars story,2016,pg-13,science fiction,gareth edwards,7.55,0.7006
612,logan,2017,r,drama,james mangold,8.225,0.7005
613,the sentinel,2006,pg-13,crime,clark johnson,5.1,0.7004
614,a fish called wanda,1988,r,crime,"charles crichton, john cleese",8.075,0.7004
615,hannah montana the movie,2009,g,romance,peter chelsom,5.1,0.7004
616,patriot games,1992,r,thriller,phillip noyce,6.775,0.7004
617,sonic the hedgehog 2,2022,pg,action,jeff fowler,6.4,0.7003
618,unlawful entry,1992,r,mystery,jonathan kaplan,6.575,0.7002
619,eye in the sky,2015,r,war,gavin hood,7.775,0.7
620,the client,1994,pg-13,mystery,joel schumacher,6.975,0.6999
621,jojo rabbit,2019,pg-13,war,taika waititi,7.425,0.6999
622,letters to juliet,2010,pg,romance,gary winick,5.7,0.6999
623,the thing,2011,r,mystery,matthijs van heijningen jr.,5.175000000000001,0.6998
624,the others,2001,pg-13,thriller,alejandro amenábar,7.75,0.6998
625,jeepers creepers,2001,r,mystery,victor salva,5.55,0.6998
626,scary stories to tell in the dark,2019,pg-13,horror,andré øvredal,6.65,0.6998
627,sgt stubby an american hero,2018,pg,war,richard lanni,7.35,0.6996
628,the strangers,2008,r,horror,bryan bertino,5.45,0.6995
629,when harry met sally,1989,r,romance,rob reiner,7.9,0.6994
630,rocky iii,1982,pg,drama,sylvester stallone,6.475,0.6993
631,gremlins,1984,pg,horror,joe dante,7.5,0.6993
632,childs play,2019,r,horror,lars klevberg,5.725,0.6993
633,back to the future part iii,1990,pg,comedy,robert zemeckis,7.125,0.6992
634,saw vi,2009,r,horror,kevin greutert,4.8,0.6992
635,lethal weapon,1987,r,thriller,richard donner,7.425,0.6991
636,real steel,2011,pg-13,drama,shawn levy,6.425,0.6991
637,jason bourne,2016,pg-13,action,paul greengrass,6.075,0.699
638,inside llewyn davis,2013,r,music,"ethan coen, joel coen",8.275,0.699
639,blade ii,2002,r,thriller,guillermo del toro,6.05,0.6989
640,star trek ii the wrath of khan,1982,pg,science fiction,nicholas meyer,7.625,0.6989
641,kingsman the secret service,2014,r,comedy,matthew vaughn,7.2,0.6988
642,a dogs purpose,2017,pg,drama,lasse hallström,5.65,0.6987
643,the longest yard,2005,pg-13,comedy,peter segal,5.275,0.6987
644,incredibles 2,2018,pg,action,brad bird,8.075,0.6987
645,pulse,2006,pg-13,mystery,jim sonzero,3.45,0.6986
646,crawl,2019,r,horror,alexandre aja,6.7,0.6985
647,groundhog day,1993,pg,romance,harold ramis,8.05,0.6985
648,begin again,2013,r,music,john carney,7.275,0.6985
649,danny collins,2015,r,music,dan fogelman,6.825,0.6985
650,a nightmare on elm street 4 the dream master,1988,r,horror,renny harlin,5.65,0.6984
651,katy perry part of me,2012,pg,music,"dan cutforth, jane lipsitz",6.55,0.6984
652,alien³,1992,r,science fiction,david fincher,5.775,0.6984
653,as above so below,2014,r,horror,john erick dowdle,4.95,0.6983
654,the terminator,1984,r,science fiction,james cameron,8.55,0.6983
655,one direction this is us,2013,pg,music,morgan spurlock,5.9750000000000005,0.6983
656,murder on the orient express,2017,pg-13,crime,kenneth branagh,6.1,0.6982
657,102 dalmatians,2000,g,comedy,kevin lima,4.2,0.6982
658,dragon ball super broly,2018,pg,science fiction,tatsuya nagamine,7.475,0.6981
659,wargames,1983,pg,thriller,john badham,7.824999999999999,0.6979
660,enter the dragon,1973,r,action,robert clouse,8.025,0.6979
661,indiana jones and the kingdom of the crystal skull,2008,pg-13,action,steven spielberg,6.6,0.6978
662,halloween,2018,r,thriller,david gordon green,6.925,0.6978
663,connie and carla,2004,pg-13,music,michael lembeck,5.25,0.6977
664,pink floyd the wall,1982,r,music,alan parker,7.0,0.6977
665,the wolfman,2010,r,thriller,joe johnston,4.8,0.6976
666,17 again,2009,pg-13,fantasy,burr steers,5.8,0.6976
667,minority report,2002,pg-13,thriller,steven spielberg,7.95,0.6976
668,ricki and the flash,2015,pg-13,music,jonathan demme,5.925,0.6976
669,sicario,2015,r,crime,denis villeneuve,8.125,0.6975
670,the muppet movie,1979,g,music,james frawley,7.775,0.6974
671,step up 3d,2010,pg-13,romance,jon m. chu,5.55,0.6974
672,hustlers,2019,r,crime,lorene scafaria,7.375,0.6974
673,spawn,1997,pg-13,horror,mark a.z. dippé,3.925,0.6973
674,entrapment,1999,pg-13,mystery,jon amiel,5.475,0.6973
675,trainspotting,1996,r,crime,danny boyle,8.35,0.6972
676,the tourist,2010,pg-13,thriller,florian henckel von donnersmarck,4.475,0.6972
677,honey,2003,pg-13,music,bille woodruff,4.3,0.6971
678,annabelle comes home,2019,r,horror,gary dauberman,6.0,0.6971
679,48 hrs,1982,r,crime,walter hill,7.475,0.6971
680,the proposal,2009,pg-13,drama,anne fletcher,5.825,0.697
681,righteous kill,2008,r,crime,jon avnet,4.325,0.697
682,cinderella man,2005,pg-13,romance,ron howard,7.6,0.697
683,enemy of the state,1998,r,action,tony scott,7.025,0.6969
684,revenge of the pink panther,1978,pg,mystery,blake edwards,6.975,0.6969
685,san andreas,2015,pg-13,thriller,brad peyton,5.35,0.6969
686,the burbs,1989,pg,horror,joe dante,5.925,0.6968
687,little women,2019,pg,drama,greta gerwig,8.575,0.6967
688,the american,2010,r,crime,anton corbijn,6.2,0.6967
689,in time,2011,pg-13,thriller,andrew niccol,5.65,0.6967
690,bandits,2001,pg-13,crime,barry levinson,6.3,0.6966
691,casualties of war,1989,r,war,brian de palma,7.525,0.6966
692,the hangover,2009,r,comedy,todd phillips,7.55,0.6965
693,m3gan,2022,pg-13,horror,gerard johnstone,7.475,0.6964
694,wallace  gromit the curse of the were rabbit,2005,g,comedy,"steve box, nick park",8.2,0.6964
695,sherlock holmes a game of shadows,2011,pg-13,action,guy ritchie,6.325,0.6963
696,sin city,2005,r,thriller,"frank miller, quentin tarantino, robert rodriguez",7.625,0.6963
697,wild things,1998,r,mystery,john mcnaughton,6.15,0.6963
698,tomb raider,2018,pg-13,fantasy,roar uthaug,5.675,0.6962
699,paranormal activity the marked ones,2014,r,horror,christopher landon,4.65,0.6962
700,the amazing spider man,2012,pg-13,action,marc webb,6.825,0.6961
701,grumpier old men,1995,pg-13,romance,howard deutch,4.975,0.6961
702,who framed roger rabbit,1988,pg,fantasy,robert zemeckis,8.275,0.6961
703,breaker morant,1980,pg,war,bruce beresford,8.025,0.696
704,hamlet 2,2008,r,music,andrew fleming,5.95,0.696
705,exit wounds,2001,r,crime,andrzej bartkowiak,4.675,0.696
706,somethings gotta give,2003,pg-13,drama,nancy meyers,6.775,0.6959
707,alvin and the chipmunks the squeakquel,2009,pg,comedy,betty thomas,4.1,0.6959
708,field of dreams,1989,pg,fantasy,phil alden robinson,7.275,0.6959
709,training day,2001,r,crime,antoine fuqua,7.4,0.6959
710,law abiding citizen,2009,r,crime,f. gary gray,5.2,0.6959
711,pompeii,2014,pg-13,romance,paul w.s. anderson,4.45,0.6957
712,star trek iv the voyage home,1986,pg,science fiction,leonard nimoy,7.424999999999999,0.6957
713,jacobs ladder,1990,r,mystery,adrian lyne,7.050000000000001,0.6957
714,the bank job,2008,r,crime,roger donaldson,7.2,0.6957
715,bullet train,2022,r,thriller,david leitch,6.225,0.6957
716,the first purge,2018,r,horror,gerard mcmurray,5.525,0.6956
717,the family stone,2005,pg-13,romance,thomas bezucha,5.85,0.6955
718,gothika,2003,r,thriller,mathieu kassovitz,4.3,0.6955
719,the mask of zorro,1998,pg-13,action,martin campbell,7.025,0.6955
720,guess who,2005,pg-13,romance,kevin rodney sullivan,5.225,0.6955
721,cold pursuit,2019,r,crime,hans petter moland,6.125,0.6954
722,tenet,2020,pg-13,science fiction,christopher nolan,7.1,0.6954
723,the host,2006,r,science fiction,bong joon ho,7.975,0.6954
724,working girl,1988,r,romance,mike nichols,7.25,0.6953
725,snatch,2000,r,crime,guy ritchie,7.225,0.6953
726,in the line of fire,1993,r,mystery,wolfgang petersen,7.8,0.6953
727,the 40 year old virgin,2005,r,comedy,judd apatow,7.324999999999999,0.6953
728,thank you for your service,2017,r,war,jason hall,6.9,0.6952
729,the wall,2017,r,war,doug liman,6.2,0.6952
730,nick and norahs infinite playlist,2008,pg-13,music,peter sollett,6.75,0.6952
731,percy jackson  the olympians the lightning thief,2010,pg,fantasy,chris columbus,5.4,0.6952
732,the siege,1998,r,thriller,edward zwick,5.6,0.6952
733,deadpool,2016,r,action,tim miller,7.65,0.6952
734,vicky cristina barcelona,2008,pg-13,romance,woody allen,7.225,0.6952
735,the hunger games mockingjay   part 1,2014,pg-13,thriller,francis lawrence,6.675,0.6952
736,gone baby gone,2007,r,mystery,ben affleck,7.875,0.6951
737,the town,2010,r,thriller,ben affleck,7.825,0.6951
738,i frankenstein,2014,pg-13,horror,stuart beattie,3.5,0.6951
739,cars 2,2011,g,comedy,"john lasseter, bradford lewis",5.475,0.6951
740,kick ass,2010,r,crime,matthew vaughn,7.274999999999999,0.6951
741,harry potter and the half blood prince,2009,pg,fantasy,david yates,7.85,0.695
742,xxx return of xander cage,2017,pg-13,crime,d.j. caruso,5.025,0.695
743,brightburn,2019,r,mystery,david yarovesky,5.575,0.695
744,insidious chapter 3,2015,pg-13,thriller,leigh whannell,5.8,0.6949
745,the dark knight,2008,pg-13,crime,christopher nolan,8.825,0.6949
746,ouija origin of evil,2016,pg-13,horror,mike flanagan,6.775,0.6949
747,47 meters down,2017,pg-13,horror,johannes roberts,5.475,0.6949
