Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
296,the equalizer 2,2018,r,crime,antoine fuqua,5.925,74.64
297,death race,2008,r,science fiction,paul w.s. anderson,5.275,74.64
298,three kings,1999,r,war,david o. russell,7.85,74.63
299,get rich or die tryin,2005,r,music,jim sheridan,4.625,74.63
300,x2,2003,pg-13,action,bryan singer,7.425,74.63
301,mars attacks,1996,pg-13,science fiction,tim burton,5.875,74.63
302,flags of our fathers,2006,r,war,clint eastwood,7.375,74.63
303,the omen,2006,r,mystery,john moore,4.5,74.63
304,cheaper by the dozen,2003,pg,comedy,shawn levy,4.8,74.63
305,rush hour 2,2001,pg-13,comedy,brett ratner,5.825,74.62
306,life,2017,r,mystery,daniel espinosa,6.3,74.62
307,secret window,2004,pg-13,mystery,david koepp,5.574999999999999,74.62
308,austin powers in goldmember,2002,pg-13,comedy,jay roach,5.9,74.61
309,wall·e,2008,g,science fiction,andrew stanton,8.875,74.61
310,salt,2010,pg-13,thriller,phillip noyce,6.4,74.61
311,the other woman,2014,pg-13,comedy,nick cassavetes,4.75,74.61
312,jack ryan shadow recruit,2014,pg-13,thriller,kenneth branagh,5.875,74.61
313,its complicated,2009,r,romance,nancy meyers,6.125,74.61
314,executive decision,1996,r,thriller,stuart baird,6.3,74.61
315,hercules,2014,pg-13,action,brett ratner,5.575,74.61
316,payback,1999,r,crime,brian helgeland,6.025,74.6
317,deep blue sea,1999,r,science fiction,renny harlin,5.825,74.6
318,underworld awakening,2012,r,horror,"måns mårlind, björn stein",4.75,74.6
319,elvis,2022,pg-13,drama,baz luhrmann,7.225,74.6
320,angel has fallen,2019,r,thriller,ric roman waugh,5.325,74.6
321,a perfect murder,1998,r,crime,andrew davis,5.9,74.6
322,enemy of the state,1998,r,action,tony scott,7.025,74.6
323,conspiracy theory,1997,r,thriller,richard donner,5.975,74.59
324,mirrors,2008,r,horror,alexandre aja,4.35,74.59
325,hereafter,2010,pg-13,fantasy,clint eastwood,5.75,74.59
326,christopher robin,2018,pg,fantasy,marc forster,6.95,74.58
327,the rock,1996,r,action,michael bay,6.75,74.58
328,joe dirt,2001,pg-13,mystery,dennie gordon,3.625,74.58
329,american reunion,2012,r,comedy,"jon hurwitz, hayden schlossberg",5.6,74.58
330,get smart,2008,pg-13,thriller,peter segal,5.8,74.58
331,air force one,1997,r,action,wolfgang petersen,6.75,74.57000000000001
332,the expendables 2,2012,r,thriller,simon west,6.199999999999999,74.57000000000001
333,music and lyrics,2007,pg-13,romance,marc lawrence,6.275,74.57000000000001
334,yours mine  ours,2005,pg,romance,raja gosnell,4.025,74.57000000000001
335,the prince of egypt,1998,pg,drama,"brenda chapman, steve hickner, simon wells",7.225,74.57000000000001
336,storks,2016,pg,comedy,"nicholas stoller, doug sweetland",6.4,74.57000000000001
337,dracula untold,2014,pg-13,action,gary shore,4.800000000000001,74.56
338,wanted,2008,r,action,timur bekmambetov,6.675,74.56
339,the messenger the story of joan of arc,1999,r,war,luc besson,5.325,74.56
340,paul blart mall cop,2009,pg,comedy,steve carr,4.5,74.55000000000001
341,wall street money never sleeps,2010,pg-13,crime,oliver stone,5.9,74.55000000000001
342,megamind,2010,pg,action,tom mcgrath,6.975,74.55000000000001
343,over the hedge,2006,pg,comedy,"tim johnson, karey kirkpatrick",6.875,74.55000000000001
344,naked gun 33⅓ the final insult,1994,pg-13,crime,peter segal,6.275,74.55000000000001
