Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
693,jeepers creepers 2,2003,r,horror,victor salva,4.5,0.6733
694,mamma mia,2008,pg-13,romance,phyllida lloyd,6.025,0.6731
695,special forces,2011,r,war,stéphane rybojad,4.375,0.673
696,de lovely,2004,pg-13,music,irwin winkler,5.725,0.673
697,dear john,2010,pg-13,war,lasse hallström,5.05,0.6729
698,ant man and the wasp,2018,pg-13,action,peyton reed,7.4,0.6729
699,after the sunset,2004,pg-13,crime,brett ratner,4.5,0.6728
700,days of thunder,1990,pg-13,drama,tony scott,5.575,0.6725
701,skiptrace,2016,pg-13,mystery,renny harlin,5.025,0.6724
702,a hidden life,2019,pg-13,war,terrence malick,7.625,0.6723
703,fury,2014,r,war,david ayer,7.275,0.6723
704,truth or dare,2018,pg-13,horror,jeff wadlow,4.025,0.6721
705,jack the giant slayer,2013,pg-13,fantasy,bryan singer,5.6,0.672
706,the secret life of walter mitty,2013,pg,comedy,ben stiller,6.275,0.6719
707,star trek beyond,2016,pg-13,action,justin lin,7.3,0.6717
708,the abyss,1989,pg-13,science fiction,james cameron,7.5,0.6717
709,sinister 2,2015,r,horror,ciarán foy,3.95,0.6715
710,godzilla x kong the new empire,2024,pg-13,action,adam wingard,5.825,0.6714
711,spider man,2002,pg-13,action,sam raimi,7.75,0.6713
712,journey to the west the demons strike back,2017,pg-13,fantasy,hark tsui,5.875,0.6712
713,return of the jedi,1983,pg,action,richard marquand,7.550000000000001,0.6711
714,six days seven nights,1998,pg-13,romance,ivan reitman,5.225,0.6709
715,hansel  gretel witch hunters,2013,r,horror,tommy wirkola,4.05,0.6708
716,the guns of navarone,1961,nr,war,j. lee thompson,7.8,0.6708
717,exit wounds,2001,r,crime,andrzej bartkowiak,4.675,0.6705
718,star trek,2009,pg-13,science fiction,j.j. abrams,8.225,0.6705
719,species,1995,r,horror,roger donaldson,5.25,0.6705
720,avatar,2009,pg-13,fantasy,james cameron,7.975,0.6704
721,dream house,2011,pg-13,mystery,jim sheridan,4.1,0.6702
722,from hell,2001,r,mystery,"albert hughes, allen hughes",6.1,0.6702
723,the blind side,2009,pg-13,drama,john lee hancock,6.8,0.6701
724,raise your voice,2004,pg,music,sean mcnamara,4.3,0.6701
725,rio 2,2014,g,comedy,carlos saldanha,5.675,0.67
726,alvin and the chipmunks the squeakquel,2009,pg,comedy,betty thomas,4.1,0.6699
727,anacondas the hunt for the blood orchid,2004,pg-13,horror,dwight h. little,4.2,0.6698
728,bruce almighty,2003,pg-13,comedy,tom shadyac,5.725,0.6694
729,basic,2003,r,mystery,john mctiernan,4.6,0.6694
730,green zone,2010,r,war,paul greengrass,6.225,0.6693
731,mechanic resurrection,2016,r,thriller,dennis gansel,4.65,0.6692
732,when a stranger calls,2006,pg-13,horror,simon west,3.575,0.6689
733,act of valor,2012,r,war,"mike mccoy, scott waugh",4.925,0.6689
734,halloween kills,2021,r,thriller,david gordon green,5.0,0.6688
735,sudden impact,1983,r,thriller,clint eastwood,5.85,0.6686
736,heroes,1977,pg,war,jeremy kagan,4.6,0.6685
737,the longest day,1962,pg,war,"ken annakin, andrew marton, gerd oswald",7.800000000000001,0.6684
738,skyscraper,2018,pg-13,action,rawson marshall thurber,5.5,0.6684
