Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
1047,elizabeth the golden age,2007,pg-13,romance,shekhar kapur,5.35,71.78
1048,when harry met sally,1989,r,romance,rob reiner,7.9,71.78
1049,sparkle,2012,pg-13,music,salim akil,5.8,71.77
1050,pulse,2006,pg-13,mystery,jim sonzero,3.45,71.77
1051,the last song,2010,pg,romance,julie anne robinson,4.65,71.77
1052,the jungle book,2016,pg,fantasy,jon favreau,7.825,71.76
1053,blue hawaii,1961,pg,music,norman taurog,5.0,71.76
1054,jeepers creepers 2,2003,r,horror,victor salva,4.5,71.76
1055,kiss the girls,1997,r,mystery,gary fleder,5.275,71.75
1056,babe,1995,g,drama,chris noonan,7.775,71.74000000000001
1057,lilo  stitch,2002,pg,comedy,"dean deblois, chris sanders",7.725,71.73
1058,i still believe,2020,pg,music,"andrew erwin, jon erwin",5.8,71.73
1059,vacancy,2007,r,horror,nimród antal,5.85,71.72
1060,jurassic park,1993,pg-13,science fiction,steven spielberg,8.025,71.71
1061,twilight,2008,pg-13,fantasy,catherine hardwicke,5.5,71.71
1062,trainspotting,1996,r,crime,danny boyle,8.35,71.7
1063,jailhouse rock,1957,nr,music,richard thorpe,6.525,71.7
1064,metallica through the never,2013,r,music,nimród antal,7.05,71.7
1065,the princess diaries 2 royal engagement,2004,g,romance,garry marshall,4.85,71.7
1066,avp alien vs predator,2004,pg-13,horror,paul w.s. anderson,4.15,71.69
1067,noah,2014,pg-13,drama,darren aronofsky,6.45,71.67
1068,boomerang,1992,r,romance,reginald hudlin,5.175,71.67
1069,fantastic beasts and where to find them,2016,pg-13,fantasy,david yates,7.125,71.67
1070,little shop of horrors,1986,pg-13,horror,frank oz,7.8,71.66
1071,henry v,1989,pg-13,war,kenneth branagh,8.200000000000001,71.66
1072,romeo must die,2000,r,crime,andrzej bartkowiak,5.2,71.66
1073,sound of freedom,2023,pg-13,drama,alejandro monteverde,6.4,71.65
1074,onward,2020,pg,fantasy,dan scanlon,7.5,71.61999999999999
